	0-000014080
就知道天地不是那么小	002732629-002735365	[["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["知道", ["[zhi1 dao4] to know / to be aware of / also pron. [zhi1 dao5]"]], ["天地", ["[tian1 di4] heaven and earth / world / scope / field of activity"]], ["不是", ["[bu4 shi4] no / is not / not", "[bu4 shi5] fault / blame"]], ["那么", ["[na4 me5] like that / in that way / or so / so / so very much / about / in that case"]], ["小", ["[xiao3] small / tiny / few / young"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["知", ["[zhi1] to know / to be aware"]], ["道", ["[dao4] direction / way / road / path / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin stretches, rivers, roads etc / province (of Korea do 도, and formerly Japan dō) / CL:條|条[tiao2],股[gu3]"]], ["天", ["[tian1] day / sky / heaven"]], ["地", ["[de5] -ly / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct", "[di4] earth / ground / field / place / land / CL:片[pian4]"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["那", ["[na3] variant of 哪[na3]", "[na4] that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
章大哥，呆在我们这个小城里	002735365-002738502	[["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["大哥", ["[da4 ge1] eldest brother"]], ["呆", ["[dai1] foolish / stupid / expressionless / blank / to stay"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["我们", ["[wo3 men5] we / us / ourselves / our"]], ["这个", ["[zhe4 ge5] this / this one"]], ["小城", ["[xiao3 cheng2] small town"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["哥", ["[ge1] elder brother"]], ["我", ["[wo3] I / me / my"]], ["们", ["[men5] plural marker for pronouns, and nouns referring to individuals"]], ["这", ["[zhe4] this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["小", ["[xiao3] small / tiny / few / young"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]]]
尤其是像我们那样的家了真会把人给憋死的	002738502-002743440	[["尤其是", ["[you2 qi2 shi4] especially / most of all / above all / in particular"]], ["像", ["[xiang4] to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)"]], ["我们", ["[wo3 men5] we / us / ourselves / our"]], ["那样", ["[na4 yang4] that kind / that sort"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["真", ["[zhen1] really / truly / indeed / real / true / genuine"]], ["会", ["[hui4] can / be possible / be able to / will / be likely to / be sure to / to assemble / to meet / to gather / to see / union / group / association / CL:個|个[ge4] / a moment (Taiwan pr. for this sense is [hui3])", "[kuai4] to balance an account / accountancy / accounting"]], ["把", ["[ba3] to hold / to contain / to grasp / to take hold of / handle / particle marking the following noun as a direct object / classifier for objects with handle / classifier for small objects: handful", "[ba4] handle"]], ["人", ["[ren2] man / person / people / CL:個|个[ge4],位[wei4]"]], ["给", ["[gei3] to / for / for the benefit of / to give / to allow / to do sth (for sb) / (passive particle)", "[ji3] to supply / to provide"]], ["憋", ["[bie1] to choke / to stifle / to restrain / to hold back / to hold in (urine) / to hold (one's breath)"]], ["死", ["[si3] to die / impassable / uncrossable / inflexible / rigid / extremely"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["尤", ["[You2] surname You", "[you2] outstanding / particularly, especially / a fault / to express discontentment against"]], ["其", ["[qi2] his / her / its / theirs / that / such / it (refers to sth preceding it)"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["我", ["[wo3] I / me / my"]], ["们", ["[men5] plural marker for pronouns, and nouns referring to individuals"]], ["那", ["[na3] variant of 哪[na3]", "[na4] that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing"]], ["样", ["[yang4] manner / pattern / way / appearance / shape / CL:個|个[ge4]"]]]
大嫂每天平上买莱	002743440-002744908	[["大嫂", ["[da4 sao3] older brother's wife / sister-in-law / elder sister (respectful appellation for an older married woman)"]], ["每天", ["[mei3 tian1] every day / everyday"]], ["平", ["[Ping2] surname Ping", "[ping2] flat / level / equal / to tie (make the same score) / to draw (score) / calm / peaceful / see also 平聲|平声[ping2 sheng1]"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["买", ["[mai3] to buy / to purchase"]], ["莱", ["[lai2] name of weed plant (fat hen, goosefoot, pigweed etc) / Chenopodium album"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["嫂", ["[sao3] older brother's wife / sister-in-law"]], ["每", ["[mei3] each / every"]], ["天", ["[tian1] day / sky / heaven"]]]
都要到城头上来走一走的	002744908-002747111	[["都", ["[Du1] surname Du", "[dou1] all / both / entirely / (used for emphasis) even / already / (not) at all", "[du1] capital city / metropolis"]], ["要", ["[yao1] to demand / to request / to coerce", "[yao4] important / vital / to want / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]], ["头上", ["[tou2 shang4] overhead / above"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["头", ["[tou2] head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL:個|个[ge4]", "[tou5] suff. for nouns"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]]]
也许那样能使她心里头松快一点	002747111-002750314	[["也许", ["[ye3 xu3] perhaps / maybe"]], ["那样", ["[na4 yang4] that kind / that sort"]], ["能", ["[Neng2] surname Neng", "[neng2] to be able to / to be capable of / ability / capability / able / capable / can possibly / (usually used in the negative) to have the possibility of"]], ["使", ["[shi3] to make / to cause / to enable / to use / to employ / to send / to instruct sb to do sth / envoy / messenger"]], ["她", ["[ta1] she"]], ["心里", ["[xin1 li5] chest / heart / mind"]], ["头", ["[tou2] head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL:個|个[ge4]", "[tou5] suff. for nouns"]], ["松快", ["[song1 kuai5] less crowded / relieved / relaxed / to relax"]], ["一点", ["[yi1 dian3] a bit / a little / one dot / one point"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["也", ["[Ye3] surname Ye", "[ye3] also / too / (in Classical Chinese) final particle implying affirmation"]], ["许", ["[Xu3] surname Xu", "[xu3] to allow / to permit / to promise / to praise / somewhat / perhaps"]], ["那", ["[na3] variant of 哪[na3]", "[na4] that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing"]], ["样", ["[yang4] manner / pattern / way / appearance / shape / CL:個|个[ge4]"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["松", ["[Song1] surname Song", "[song1] pine / CL:棵[ke1]", "[song1] loose / to loosen / to relax"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]]]
就是这点松快使她有勇气再活下去	002750314-002756520	[["就是", ["[jiu4 shi4] (emphasizes that sth is precisely or exactly as stated) / precisely / exactly / even / if / just like / in the same way as"]], ["这", ["[zhe4] this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"]], ["点", ["[dian3] point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items"]], ["松快", ["[song1 kuai5] less crowded / relieved / relaxed / to relax"]], ["使", ["[shi3] to make / to cause / to enable / to use / to employ / to send / to instruct sb to do sth / envoy / messenger"]], ["她", ["[ta1] she"]], ["有", ["[you3] to have / there is / there are / to exist / to be"]], ["勇气", ["[yong3 qi4] courage / valor"]], ["再", ["[zai4] again / once more / re- / second / another / then (after sth, and not until then)"]], ["活下去", ["[huo2 xia4 qu4] to survive / to keep on living"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["松", ["[Song1] surname Song", "[song1] pine / CL:棵[ke1]", "[song1] loose / to loosen / to relax"]], ["快", ["[kuai4] rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plain-spoken / gratified / pleased / pleasant"]], ["勇", ["[yong3] brave"]], ["气", ["[qi4] gas / air / smell / weather / to make angry / to annoy / to get angry / vital energy / qi"]], ["活", ["[huo2] to live / alive / living / work / workmanship"]], ["下", ["[xia4] down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc)"]], ["去", ["[qu4] to go / to go to (a place) / to cause to go or send (sb) / to remove / to get rid of / (when used either before or after a verb) to go in order to do sth / to be apart from in space or time / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation) / (of a time or an event etc) just passed or elapsed"]]]
章大哥，你在想什么7	002756520-002758355	[["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["大哥", ["[da4 ge1] eldest brother"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["哥", ["[ge1] elder brother"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
你听见我说了什么7	002758355-002759656	[["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["听见", ["[ting1 jian4] to hear"]], ["我", ["[wo3] I / me / my"]], ["说", ["[shui4] to canvass / to persuade / see 遊說|游说[you2 shui4], to canvass and 說客|说客[shui4 ke4], persuasive speaker", "[shuo1] to speak / to say / to explain / to scold / to tell off / a theory (usually in compounds such as 日心说 heliocentric theory)"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["听", ["[ting1] to listen / to hear / to obey / a can (loanword from English \"tin\") / classifier for canned beverages", "[ting4] (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow"]], ["见", ["[jian4] to see / to meet / to appear (to be sth) / to interview", "[xian4] to appear"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
听见了那你在想什么7	002759656-002761892	[["听见", ["[ting1 jian4] to hear"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["那", ["[na3] variant of 哪[na3]", "[na4] that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["听", ["[ting1] to listen / to hear / to obey / a can (loanword from English \"tin\") / classifier for canned beverages", "[ting4] (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow"]], ["见", ["[jian4] to see / to meet / to appear (to be sth) / to interview", "[xian4] to appear"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
我在想，你将来也许合成个诗人或者是哲学家	002761892-002766063	[["我", ["[wo3] I / me / my"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["将来", ["[jiang1 lai2] in the future / future / the future / CL:個|个[ge4]"]], ["也许", ["[ye3 xu3] perhaps / maybe"]], ["合成", ["[he2 cheng2] to compose / to constitute / compound / synthesis / mixture / synthetic"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["诗人", ["[shi1 ren2] bard / poet"]], ["或者", ["[huo4 zhe3] or / possibly / maybe / perhaps"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["哲学家", ["[zhe2 xue2 jia1] philosopher"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["将", ["[jiang1] will / shall / to use / to take / to checkmate / just a short while ago", "[jiang4] general / commander-in-chief (military) / king (chess piece) / to command / to lead", "[qiang1] to desire / to invite / to request"]], ["来", ["[lai2] to come / to arrive / to come round / ever since / next"]], ["也", ["[Ye3] surname Ye", "[ye3] also / too / (in Classical Chinese) final particle implying affirmation"]], ["许", ["[Xu3] surname Xu", "[xu3] to allow / to permit / to promise / to praise / somewhat / perhaps"]], ["合", ["[ge3] 100 ml / one-tenth of a peck / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗", "[he2] to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒[he2]", "[he2] variant of 合[he2]"]], ["成", ["[Cheng2] surname Cheng", "[cheng2] to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth"]], ["诗", ["[shi1] poem / CL:首[shou3] / poetry / verse / abbr. for Book of Songs 詩經|诗经[Shi1 Jing1]"]], ["人", ["[ren2] man / person / people / CL:個|个[ge4],位[wei4]"]], ["或", ["[huo4] maybe / perhaps / might / possibly / or"]], ["者", ["[zhe3] (after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this"]], ["哲", ["[zhe2] philosophy / wise"]], ["学", ["[xue2] to learn / to study / science / -ology"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]]]
瞎扯[谁知道你在想什么呀	002766063-002769666	[["瞎扯", ["[xia1 che3] to talk irresponsibly / to talk nonsense"]], ["谁知道", ["[shei2 zhi1 dao4] God knows... / Who would have imagined...?"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["呀", ["[ya5] (particle equivalent to 啊 after a vowel, expressing surprise or doubt)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["瞎", ["[xia1] blind / groundlessly / foolishly / to no purpose"]], ["扯", ["[che3] to pull / to tear / (of cloth, thread etc) to buy / to chat / to gossip"]], ["谁", ["[shei2] who / also pr. [shui2]"]], ["知", ["[zhi1] to know / to be aware"]], ["道", ["[dao4] direction / way / road / path / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin stretches, rivers, roads etc / province (of Korea do 도, and formerly Japan dō) / CL:條|条[tiao2],股[gu3]"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
我倒是在想，今年暑假毕业以疟	002769666-002772436	[["我", ["[wo3] I / me / my"]], ["倒是", ["[dao4 shi5] contrary to what one might expect / actually / contrariwise / why don't you"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["今年", ["[jin1 nian2] this year"]], ["暑假", ["[shu3 jia4] summer vacation / CL:個|个[ge4]"]], ["毕业", ["[bi4 ye4] graduation / to graduate / to finish school"]], ["以", ["[Yi3] abbr. for Israel 以色列[Yi3 se4 lie4]", "[yi3] to use / according to / so as to / by means of / in order to / by / with / because"]], ["疟", ["[nu:e4] malaria", "[yao4] see 瘧子|疟子[yao4 zi5]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["倒", ["[dao3] to fall / to collapse / to topple / to fail / to go bankrupt / to change (trains or buses) / to move around / to sell / to speculate (buying and selling, also 搗|捣) / profiteer", "[dao4] to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["今", ["[jin1] today / modern / present / current / this / now"]], ["年", ["[Nian2] surname Nian", "[nian2] year / CL:個|个[ge4]"]], ["暑", ["[shu3] heat / hot weather / summer heat"]], ["假", ["[jia3] fake / false / artificial / to borrow / if / suppose", "[jia4] vacation"]], ["毕", ["[Bi4] surname Bi", "[bi4] the whole of / to finish / to complete / complete / full / finished"]], ["业", ["[Ye4] surname Ye", "[ye4] line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already"]]]
我想到上海去念高中	002772436-002774605	[["我", ["[wo3] I / me / my"]], ["想到", ["[xiang3 dao4] to think of / to call to mind / to anticipate"]], ["上海", ["[Shang4 hai3] Shanghai municipality, central east China, abbr. to 滬|沪[Hu4]"]], ["去", ["[qu4] to go / to go to (a place) / to cause to go or send (sb) / to remove / to get rid of / (when used either before or after a verb) to go in order to do sth / to be apart from in space or time / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation) / (of a time or an event etc) just passed or elapsed"]], ["念", ["[nian4] to read / to study (a degree course) / to read aloud / to miss (sb) / idea / remembrance / twenty (banker's anti-fraud numeral corresponding to 廿, 20)"]], ["高中", ["[gao1 zhong1] senior high school / abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2]", "[gao1 zhong4] congrats! (on passing an exam)"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["海", ["[Hai3] surname Hai", "[hai3] ocean / sea / CL:個|个[ge4],片[pian4]"]], ["高", ["[Gao1] surname Gao", "[gao1] high / tall / above average / loud / your (honorific)"]], ["中", ["[Zhong1] China / Chinese / surname Zhong", "[zhong1] within / among / in / middle / center / while (doing sth) / during", "[zhong4] to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)"]]]
章大哥，你给我找学校	002774605-002776740	[["章", ["[Zhang1] surname Zhang", "[zhang1] chapter / section / clause / movement (of symphony) / seal / badge / regulation / order"]], ["大哥", ["[da4 ge1] eldest brother"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["给", ["[gei3] to / for / for the benefit of / to give / to allow / to do sth (for sb) / (passive particle)", "[ji3] to supply / to provide"]], ["我", ["[wo3] I / me / my"]], ["找", ["[zhao3] to try to find / to look for / to call on sb / to find / to seek / to return / to give change"]], ["学校", ["[xue2 xiao4] school / CL:所[suo3]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["大", ["[da4] big / huge / large / major / great / wide / deep / oldest / eldest", "[dai4] see 大夫[dai4 fu5]"]], ["哥", ["[ge1] elder brother"]], ["学", ["[xue2] to learn / to study / science / -ology"]], ["校", ["[jiao4] to proofread / to check / to compare", "[xiao4] school / military officer / CL:所[suo3]"]]]
啊7我让你给我找学校啊好[	002776740-002781011	[["啊", ["[a1] interjection of surprise / Ah! / Oh!", "[a2] interjection expressing doubt or requiring answer / Eh? / what? / to show realization / to stress", "[a3] interjection of surprise or doubt / Eh? / My! / what's up?", "[a4] interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you!", "[a5] modal particle ending sentence, showing affirmation, approval, or consent"]], ["我", ["[wo3] I / me / my"]], ["让", ["[rang4] to yield / to permit / to let sb do sth / to have sb do sth"]], ["你", ["[ni3] you (informal, as opposed to courteous 您[nin2])"]], ["给", ["[gei3] to / for / for the benefit of / to give / to allow / to do sth (for sb) / (passive particle)", "[ji3] to supply / to provide"]], ["我", ["[wo3] I / me / my"]], ["找", ["[zhao3] to try to find / to look for / to call on sb / to find / to seek / to return / to give change"]], ["学校", ["[xue2 xiao4] school / CL:所[suo3]"]], ["啊", ["[a1] interjection of surprise / Ah! / Oh!", "[a2] interjection expressing doubt or requiring answer / Eh? / what? / to show realization / to stress", "[a3] interjection of surprise or doubt / Eh? / My! / what's up?", "[a4] interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you!", "[a5] modal particle ending sentence, showing affirmation, approval, or consent"]], ["好", ["[hao3] good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)", "[hao4] to be fond of / to have a tendency to / to be prone to"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["学", ["[xue2] to learn / to study / science / -ology"]], ["校", ["[jiao4] to proofread / to check / to compare", "[xiao4] school / military officer / CL:所[suo3]"]]]
回去吧	002781011-002783881	[["回去", ["[hui2 qu5] to return / to go back"]], ["吧", ["[ba1] bar (serving drinks, or providing internet access etc) / to puff (on a pipe etc) / onomat. bang", "[ba5] (modal particle indicating suggestion or surmise) / ...right? / ...OK? / ...I presume."]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["回", ["[hui2] to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book)", "[hui2] to curve / to return / to revolve"]], ["去", ["[qu4] to go / to go to (a place) / to cause to go or send (sb) / to remove / to get rid of / (when used either before or after a verb) to go in order to do sth / to be apart from in space or time / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation) / (of a time or an event etc) just passed or elapsed"]]]
