Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Kind, du kannst doch mit so'nem Ding gar nicht...	___ du ___ doch mit so'nem ___ ___ nicht...	<span class="learn">Kind,</span> du <span class="learn">kannst</span> doch mit so'nem <span class="learn">Ding</span> <span class="learn">gar</span> nicht...	Child , but you can not with sonem thing ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Kind,</td><td></td><td>child ,</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>kannst</td><td></td><td>can</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>so'nem</td><td></td><td>sonem</td></tr><tr><td>Ding</td><td></td><td>thing</td></tr><tr><td>gar</td><td>cooked // done  [fully cooked] </td><td>even</td></tr><tr><td>nicht...</td><td>away [absent] // no </td><td>not ...</td></tr></table>	[sound:lola-001744103-001747283.mp4]
Liegenbleiben!	Liegenbleiben!	Liegenbleiben!	Stay down !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Liegenbleiben!</td><td></td><td>Stay down !</td></tr></table>	[sound:lola-001750204-001752144.mp4]
Komm her.	Komm her.	Komm her.	Come here .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Komm</td><td></td><td>Come</td></tr><tr><td>her.</td><td>bitter // brut  [of wine, esp. champagne] // dry // harsh // harshly // not sweet // rough // tartly // tart  [flavour] </td><td>forth .</td></tr></table>	[sound:lola-001754745-001756335.mp4]
Okay, du passt auf. Ich hol das Geld.	___ du passt auf. Ich ___ das ___	<span class="learn">Okay,</span> du passt auf. Ich <span class="learn">hol</span> das <span class="learn">Geld.</span>	Okay, you pay attention. Ill get the money.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Okay,</td><td></td><td>okay,</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>passt</td><td></td><td>fits</td></tr><tr><td>auf.</td><td></td><td>on .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hol</td><td></td><td>hol</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>Geld.</td><td>monetary // moneyed // pecuniary </td><td>Money.</td></tr></table>	[sound:lola-001761056-001763386.mp4]
Beeil dich bevor Die Bullen kommen.	Beeil ___ bevor Die Bullen ___	Beeil <span class="learn">dich</span> bevor Die Bullen <span class="learn">kommen.</span>	Hurry up before the cops come .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Beeil</td><td></td><td>Hurry</td></tr><tr><td>dich</td><td>thee [poet., archaic] [direct object] // ya [Am.] [coll.] [you] // yourself // you [direct object] [informal] </td><td>you</td></tr><tr><td>bevor</td><td>before // ere  [archaic] </td><td>before</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>Bullen</td><td></td><td>bulls</td></tr><tr><td>kommen.</td><td>ahead  [postponed] // approaching // budding // coming // imminent // impending // oncoming // to come [postpos.] // upcoming </td><td>come .</td></tr></table>	[sound:lola-001776598-001778788.mp4]
Stehenbleiben!	Stehenbleiben!	Stehenbleiben!	Standing still !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Stehenbleiben!</td><td></td><td>Standing still !</td></tr></table>	[sound:lola-001831835-001833495.mp4]
- Manni? - Mhm?	-  ___ -  Mhm?	- <span class="learn">Manni?</span> - Mhm?	Manni ?  Hmm ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Manni?</td><td></td><td>Manni ?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Mhm?</td><td></td><td>Mhm ?</td></tr></table>	[sound:lola-001923647-001925077.mp4]
Liebst du mich?	___ du mich?	<span class="learn">Liebst</span> du mich?	Do you love me ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Liebst</td><td></td><td>love</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>mich?</td><td></td><td>me?</td></tr></table>	[sound:lola-001929348-001931288.mp4]
Na sicher.	Na ___	Na <span class="learn">sicher.</span>	Well sure .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>sicher.</td><td>to ascertain // to backup // to back up [data] // to belay // to ensure // to fuse // to make sure // to protect // to safeguard // to save // to secure </td><td>sure .</td></tr></table>	[sound:lola-001933689-001935279.mp4]
Wie kannst du sicher sein?	Wie ___ du ___ ___	Wie <span class="learn">kannst</span> du <span class="learn">sicher</span> <span class="learn">sein?</span>	How can you be sure?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wie</td><td></td><td>how</td></tr><tr><td>kannst</td><td></td><td>can</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>sicher</td><td>assuredly // certain // certainly // certes  [archaic] [certainly] // comfortably  [fig.] // easily // for sure // safely // securely // sho [sl. for: sure] [Am.] [Black American English] // sure // surely // unendangered // unharmful // unharmfully // unmistaken // with certainty </td><td>secure</td></tr><tr><td>sein?</td><td></td><td>be?</td></tr></table>	[sound:lola-001938559-001940959.mp4]
Weiss ich nicht. Bin's halt.	___ ich nicht. Bin's ___	<span class="learn">Weiss</span> ich nicht. Bin's <span class="learn">halt.</span>	I do not know. m s Budget .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Weiss</td><td></td><td>White</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr><tr><td>Bin's</td><td></td><td>m s</td></tr><tr><td>halt.</td><td></td><td>halt .</td></tr></table>	[sound:lola-001942000-001944930.mp4]
Aber ich könnte auch irgend eine andere sein.	___ ich könnte auch ___ eine ___ ___	<span class="learn">Aber</span> ich könnte auch <span class="learn">irgend</span> eine <span class="learn">andere</span> <span class="learn">sein.</span>	But I could also be any different.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>könnte</td><td></td><td>could</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>irgend</td><td>at all </td><td>some</td></tr><tr><td>eine</td><td>any [one of many] // an [feminine subject / direct object] // one </td><td>one</td></tr><tr><td>andere</td><td>another // different // other // others </td><td>other</td></tr><tr><td>sein.</td><td></td><td>be .</td></tr></table>	[sound:lola-001946170-001948400.mp4]
- Nee. - Wieso nicht?	-  ___ -  ___ nicht?	- <span class="learn">Nee.</span> - <span class="learn">Wieso</span> nicht?	Nope .  Why not?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Nee.</td><td>Nah! </td><td>Nope .</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Wieso</td><td></td><td>Why</td></tr><tr><td>nicht?</td><td></td><td>not ?</td></tr></table>	[sound:lola-001951101-001952691.mp4]
- Weil du Die Beste bist. - Die beste was?	-  ___ du Die ___ bist. -  Die ___ was?	- <span class="learn">Weil</span> du Die <span class="learn">Beste</span> bist. - Die <span class="learn">beste</span> was?	Because youre the best.  The best thing ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Weil</td><td></td><td>because</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>Beste</td><td></td><td>best</td></tr><tr><td>bist.</td><td></td><td>are.</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>beste</td><td>best // finest // greatest // prime // vintage [best of its kind] </td><td>best</td></tr><tr><td>was?</td><td></td><td>what?</td></tr></table>	[sound:lola-001954371-001958641.mp4]
Na, Die beste Frau.	Na, Die ___ ___	Na, Die <span class="learn">beste</span> <span class="learn">Frau.</span>	Well, the best woman .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na,</td><td></td><td>Well,</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>beste</td><td>best // finest // greatest // prime // vintage [best of its kind] </td><td>best</td></tr><tr><td>Frau.</td><td></td><td>Woman.</td></tr></table>	[sound:lola-001958642-001960452.mp4]
Von allen, allen Frauen?	___ ___ ___ Frauen?	<span class="learn">Von</span> <span class="learn">allen,</span> <span class="learn">allen</span> Frauen?	Of all, all the women ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Von</td><td></td><td>from</td></tr><tr><td>allen,</td><td></td><td>all ,</td></tr><tr><td>allen</td><td></td><td>all</td></tr><tr><td>Frauen?</td><td></td><td>Women ?</td></tr></table>	[sound:lola-001960972-001962912.mp4]
Na klar.	Na ___	Na <span class="learn">klar.</span>	Sure .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>klar.</td><td></td><td>clear.</td></tr></table>	[sound:lola-001964043-001965373.mp4]
Woher willst du das wissen?	___ ___ du das ___	<span class="learn">Woher</span> <span class="learn">willst</span> du das <span class="learn">wissen?</span>	How do you know that?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Woher</td><td></td><td>Where</td></tr><tr><td>willst</td><td></td><td>want</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>wissen?</td><td></td><td>know ?</td></tr></table>	[sound:lola-001966313-001967903.mp4]
Das weiß ich halt.	Das ___ ich ___	Das <span class="learn">weiß</span> ich <span class="learn">halt.</span>	I do stop .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>halt.</td><td></td><td>halt .</td></tr></table>	[sound:lola-001969183-001971173.mp4]
Du glaubst es.	Du glaubst es.	Du glaubst es.	You believe it .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>glaubst</td><td></td><td>think</td></tr><tr><td>es.</td><td></td><td>it .</td></tr></table>	[sound:lola-001973024-001975544.mp4]
Gut, ich glaub's.	___ ich glaub's.	<span class="learn">Gut,</span> ich glaub's.	Well, I believe it.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Gut,</td><td></td><td>good ,</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>glaub's.</td><td></td><td>believe it.</td></tr></table>	[sound:lola-001975624-001978114.mp4]
- Siehste. - Was?	-  Siehste. -  Was?	- Siehste. - Was?	You see .  What?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Siehste.</td><td></td><td>You see .</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Was?</td><td>Huh? [coll.] // What? [Roman Polanski] </td><td>What?</td></tr></table>	[sound:lola-001979355-001981715.mp4]
Du bist dir nicht sicher.	Du bist ___ nicht ___	Du bist <span class="learn">dir</span> nicht <span class="learn">sicher.</span>	You are not safe.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>sicher.</td><td>to ascertain // to backup // to back up [data] // to belay // to ensure // to fuse // to make sure // to protect // to safeguard // to save // to secure </td><td>sure .</td></tr></table>	[sound:lola-001981785-001983385.mp4]
Sag mal, spinnst du jetzt oder was?	Sag mal, spinnst du jetzt ___ was?	Sag mal, spinnst du jetzt <span class="learn">oder</span> was?	Say, you re crazy now or what?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Sag</td><td></td><td>say</td></tr><tr><td>mal,</td><td></td><td>times ,</td></tr><tr><td>spinnst</td><td></td><td>crazy</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>oder</td><td></td><td>or</td></tr><tr><td>was?</td><td></td><td>what?</td></tr></table>	[sound:lola-001984495-001986925.mp4]
Und wenn du mich nie getroffen hättest?	Und ___ du mich ___ getroffen hättest?	Und <span class="learn">wenn</span> du mich <span class="learn">nie</span> getroffen hättest?	And if you had never met me?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>wenn</td><td>by the time // if and when // once // when // whensoever  [poet.] </td><td>when</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>nie</td><td>at no time // nary  [Am.] // never </td><td>never</td></tr><tr><td>getroffen</td><td>hit // met // struck </td><td>hit</td></tr><tr><td>hättest?</td><td></td><td>had ?</td></tr></table>	[sound:lola-001992597-001995227.mp4]
Was wär dann.	Was ___ dann.	Was <span class="learn">wär</span> dann.	Then what would .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>wär</td><td></td><td>would</td></tr><tr><td>dann.</td><td></td><td>then .</td></tr></table>	[sound:lola-001996467-001998407.mp4]
Dann würdest du jetzt dasselbe 'ner anderen erzählen.	Dann ___ du jetzt dasselbe ___ anderen erzählen.	Dann <span class="learn">würdest</span> du jetzt dasselbe <span class="learn">'ner</span> anderen erzählen.	Then you would now that same ner tell others .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>würdest</td><td></td><td>would</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>dasselbe</td><td>idem <id.> // same // sic // the same </td><td>the same</td></tr><tr><td>'ner</td><td></td><td>ner</td></tr><tr><td>anderen</td><td></td><td>other</td></tr><tr><td>erzählen.</td><td>narrating // narrative // narratively // recounting // telling [narrating] </td><td>tell .</td></tr></table>	[sound:lola-002000508-002002948.mp4]
Ich brauch's ja nicht zu sagen, wenn du es nicht hören willst.	Ich ___ ja nicht zu sagen, ___ du es nicht ___ ___	Ich <span class="learn">brauch's</span> ja nicht zu sagen, <span class="learn">wenn</span> du es nicht <span class="learn">hören</span> <span class="learn">willst.</span>	I need it not to say if you do not want to hear it.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>brauch's</td><td></td><td>need it</td></tr><tr><td>ja</td><td>aye-aye // certainly // indeed // surely // yea  [archaic or formal] // yeh [coll.] [yes] // yes // yup [Am.] [coll.] [yes] </td><td>yes</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>sagen,</td><td></td><td>say</td></tr><tr><td>wenn</td><td>by the time // if and when // once // when // whensoever  [poet.] </td><td>when</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>hören</td><td>to get to know // to hearken [archaic] // to hear // to learn // to listen </td><td>hear</td></tr><tr><td>willst.</td><td></td><td>want.</td></tr></table>	[sound:lola-002003008-002005738.mp4]
Ich will nichts hören. Ich will wissen, was du fühlst.	Ich ___ ___ ___ Ich ___ ___ was du fühlst.	Ich <span class="learn">will</span> <span class="learn">nichts</span> <span class="learn">hören.</span> Ich <span class="learn">will</span> <span class="learn">wissen,</span> was du fühlst.	I will not hear . I want to know what you feel.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>will</td><td></td><td>wants</td></tr><tr><td>nichts</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>nothing</td></tr><tr><td>hören.</td><td>auditive // auditory // hearing // listening </td><td>hear .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>will</td><td></td><td>wants</td></tr><tr><td>wissen,</td><td></td><td>know</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>fühlst.</td><td></td><td>feel .</td></tr></table>	[sound:lola-002005818-002008838.mp4]
Okay. Ich fühle...	___ Ich fühle...	<span class="learn">Okay.</span> Ich fühle...	Okay. I feel ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Okay.</td><td></td><td>Okay.</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>fühle...</td><td></td><td>feel ...</td></tr></table>	[sound:lola-002009579-002013009.mp4]
...dass du Die Beste bist.	___ du Die ___ bist.	<span class="learn">...dass</span> du Die <span class="learn">Beste</span> bist.	that ... youre the best.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>...dass</td><td>in order that // so as to // with the result that </td><td>that ...</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>Beste</td><td></td><td>best</td></tr><tr><td>bist.</td><td></td><td>are.</td></tr></table>	[sound:lola-002015550-002017070.mp4]
Dein Gefühl. Wer is'n das dein Gefühl?	___ Gefühl. ___ is'n das ___ Gefühl?	<span class="learn">Dein</span> Gefühl. <span class="learn">Wer</span> is'n das <span class="learn">dein</span> Gefühl?	Your feeling . Who isn that your feeling ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dein</td><td></td><td>your</td></tr><tr><td>Gefühl.</td><td></td><td>Feeling .</td></tr><tr><td>Wer</td><td></td><td>Who</td></tr><tr><td>is'n</td><td></td><td>isn</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>dein</td><td>thine [archaic] // thy [archaic or dialect] [determiner] // ur [sl.] [your] // yer [coll.] // your [determiner] // yo [coll.] [your] </td><td>your</td></tr><tr><td>Gefühl?</td><td></td><td>Feeling ?</td></tr></table>	[sound:lola-002018020-002021720.mp4]
Na ich.	Na ich.	Na ich.	I Na .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na</td><td></td><td>Na</td></tr><tr><td>ich.</td><td></td><td>I am.</td></tr></table>	[sound:lola-002021790-002023380.mp4]
Mein Herz.	___ ___	<span class="learn">Mein</span> <span class="learn">Herz.</span>	My heart.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mein</td><td></td><td>My</td></tr><tr><td>Herz.</td><td>cardiac // heart </td><td>Heart .</td></tr></table>	[sound:lola-002026161-002027461.mp4]
Dein Herz sagt: Guten Tag Manni. Die da. Die isses.	___ ___ ___ Guten ___ ___ Die da. Die isses.	<span class="learn">Dein</span> <span class="learn">Herz</span> <span class="learn">sagt:</span> Guten <span class="learn">Tag</span> <span class="learn">Manni.</span> Die da. Die isses.	Your heart says Good day Manni . The there. The directory.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dein</td><td></td><td>your</td></tr><tr><td>Herz</td><td></td><td>heart</td></tr><tr><td>sagt:</td><td></td><td>says</td></tr><tr><td>Guten</td><td></td><td>good</td></tr><tr><td>Tag</td><td></td><td>day</td></tr><tr><td>Manni.</td><td></td><td>Manni .</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>da.</td><td>that // the // what // which // who </td><td>there.</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>isses.</td><td></td><td>isses .</td></tr></table>	[sound:lola-002027531-002030231.mp4]
Genau.	___	<span class="learn">Genau.</span>	Exactly .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Genau.</td><td>Agreed! [I agree.] // Exactly! // Word! [sl.] // That's right. </td><td>Exactly .</td></tr></table>	[sound:lola-002031702-002033862.mp4]
Und du sagst: Vielen Dank für diese Information. Bis zum nächsten Mal?	Und du sagst: Vielen ___ ___ ___ Information. Bis ___ ___ Mal?	Und du sagst: Vielen <span class="learn">Dank</span> <span class="learn">für</span> <span class="learn">diese</span> Information. Bis <span class="learn">zum</span> <span class="learn">nächsten</span> Mal?	And you say  Thank you for this information . Until next time ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>sagst:</td><td></td><td>say </td></tr><tr><td>Vielen</td><td></td><td>many</td></tr><tr><td>Dank</td><td></td><td>thanks</td></tr><tr><td>für</td><td>for // per // pro </td><td>for</td></tr><tr><td>diese</td><td>dem [Jam.: them] // dem [sl.] [those] // them [coll.] [those] [nonstandard] // these // those </td><td>this</td></tr><tr><td>Information.</td><td></td><td>Information .</td></tr><tr><td>Bis</td><td></td><td>to</td></tr><tr><td>zum</td><td></td><td>to</td></tr><tr><td>nächsten</td><td></td><td>next</td></tr><tr><td>Mal?</td><td></td><td>Time?</td></tr></table>	[sound:lola-002033942-002036962.mp4]
Genau.	___	<span class="learn">Genau.</span>	Exactly .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Genau.</td><td>Agreed! [I agree.] // Exactly! // Word! [sl.] // That's right. </td><td>Exactly .</td></tr></table>	[sound:lola-002037043-002039063.mp4]
Und du machst alles, was dein Herz dir sagt?	Und du ___ ___ was ___ ___ ___ ___	Und du <span class="learn">machst</span> <span class="learn">alles,</span> was <span class="learn">dein</span> <span class="learn">Herz</span> <span class="learn">dir</span> <span class="learn">sagt?</span>	And you make everything that your heart tells you ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>machst</td><td></td><td>do</td></tr><tr><td>alles,</td><td></td><td>everything</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>dein</td><td>thine [archaic] // thy [archaic or dialect] [determiner] // ur [sl.] [your] // yer [coll.] // your [determiner] // yo [coll.] [your] </td><td>your</td></tr><tr><td>Herz</td><td></td><td>heart</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>sagt?</td><td></td><td>says ?</td></tr></table>	[sound:lola-002039143-002041863.mp4]
Na... das sagt ja nichts.	Na... das ___ ja ___	Na... das <span class="learn">sagt</span> ja <span class="learn">nichts.</span>	Well ... that says nothing .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Na...</td><td>Oops! // Well I never! [dated] </td><td>Well ...</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>sagt</td><td></td><td>says</td></tr><tr><td>ja</td><td>aye-aye // certainly // indeed // surely // yea  [archaic or formal] // yeh [coll.] [yes] // yes // yup [Am.] [coll.] [yes] </td><td>yes</td></tr><tr><td>nichts.</td><td></td><td>nothing .</td></tr></table>	[sound:lola-002041933-002043993.mp4]
Weiss ich... das...	___ ich... das...	<span class="learn">Weiss</span> ich... das...	I know ... das. ..	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Weiss</td><td></td><td>White</td></tr><tr><td>ich...</td><td></td><td>I ...</td></tr><tr><td>das...</td><td></td><td>das. ..</td></tr></table>	[sound:lola-002045074-002046664.mp4]
Das fühlt halt.	Das fühlt ___	Das fühlt <span class="learn">halt.</span>	This feels content .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>fühlt</td><td></td><td>feels</td></tr><tr><td>halt.</td><td></td><td>halt .</td></tr></table>	[sound:lola-002048614-002050234.mp4]
Und was fühlt es jetzt?	Und was fühlt es jetzt?	Und was fühlt es jetzt?	What does it feel now?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>fühlt</td><td></td><td>feels</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>jetzt?</td><td></td><td>Now?</td></tr></table>	[sound:lola-002051114-002053814.mp4]
